,,,,,,,,
,No.,Brand,Category,Country,Official,ShopeeMall,iHerb,Followers Count
,1,Abib,Skincare,Korea,Yes,No,Yes,
,2,Aestura,Skincare,Korea,No,No,No,
,3,Anua,Skincare,Korea,Yes,Yes,Yes,
,4,APLB,Skincare,Korea,No,No,Yes,
,5,April Skin,Skincare,Korea,Yes,Yes,Yes,
,6,Arencia,Skincare,Korea,Yes,Yes,Yes,
,7,Arocell,Skincare,Korea,Yes,Yes,Yes,
,8,Axis-Y,Skincare,Korea,Yes,Yes,Yes,
,9,Benton,Skincare,Korea,Yes,Yes,Yes,
,10,Biodance,Skincare,Korea,Yes,Yes,Yes,
,11,Beauty of Joseon,Skincare,Korea,Yes,Yes,Yes,
,12,beplain,Skincare,Korea,Yes,Yes,Yes,
,13,Bringgreen,Skincare,Korea,No,No,Yes,
,14,COSRX,Skincare,Korea,Yes,Yes,Yes,205.3K
,15,Cell Fusion C,Skincare,Korea,No,No,Yes,
,16,Centellian24,Skincare,Korea,Yes,Yes,Yes,
,17,Celimax,Skincare,Korea,Yes,Yes,Yes,
,18,CNP Laboratory,Skincare,Korea,Yes,Yes,Yes,
,19,Dear Klairs,Skincare,Korea,Yes,Yes,Yes,
,20,d'Alba,Skincare,Korea,Yes,Yes,Yes,
,21,Dong-A Pharm,Skincare,Korea,No,No,No,
,22,Dr. Althea,Skincare,Korea,Yes,Yes,Yes,
,23,Dr. G,Skincare,Korea,No,No,Yes,
,24,Dr Melaxin,Skincare,Korea,Yes,Yes,Yes,
,50,Dr. Reju-All,Skincare,Korea,Yes,Yes,Yes,
,25,Eqqualberry,Skincare,Korea,No,No,Yes,
,26,Fully,Skincare,Korea,Yes,No,No,
,27,Goodal,Skincare,Korea,No,No,Yes,
,28,Haruharu Wonder,Skincare,Korea,Yes,Yes,Yes,
,29,House of Hur,Skincare,Korea,Yes,Yes,Yes,
,30,Isntree,Skincare,Korea,Yes,Yes,Yes,
